ano_compra;"nome_instituicao";"esfera";"cnpj_instituicao";"municipio_instituicao";"uf";compra;insercao;codigo_br;"descricao_catmat";"unidade_fornecimento";"generico";"anvisa";"modalidade_compra";"tipo_compra";capacidade;"unidade_medida";"unidade_fornecimento_capacidade";"cnpj_fornecedor";"fornecedor";"cnpj_fabricante";"fabricante";qtd_itens_comprados;preco_unitario;preco_total
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"268375";"ACICLOVIR, DOSAGEM:50 MG/G, USO:CREME";"BISNAGA";"S";"1256801110010";"Pregão";"ADMINISTRATIVA";"10.0";"G";"BISNAGA 10.00 G";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"73.856.593/0001-66";"PRATI, DONADUZZI & CIA LTDA";"900";"5.24";"4716.0"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"21.817.418/0001-66";"URUPA";"RO";"01/01/2024";"21/08/2025";"267203";"DIPIRONA SÓDICA, DOSAGEM:500 MG";"COMPRIMIDO";;;"Registro de Preços";"ADMINISTRATIVA";;;"COMPRIMIDO";"26.419.311/0001-83";"LUMANN DISTRIBUIDORA DE MEDICAMENTOS LTDA";"57.507.378/0001-01";"EMS S/A";"25000";"0.17";"4250.0"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"268370";"ACICLOVIR, DOSAGEM:200 MG";"COMPRIMIDO";"S";"1256801630057";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"73.856.593/0001-66";"PRATI, DONADUZZI & CIA LTDA";"600";"0.33";"198.0"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"21.817.418/0001-66";"URUPA";"RO";"01/01/2024";"21/08/2025";"383750";"LACTULOSE, CONCENTRAÇÃO:667 MG/ML, FORMA FARMACEUTICA:XAROPE";"FRASCO";;;"Registro de Preços";"ADMINISTRATIVA";"120.0";"ML";"FRASCO 120.00 ML";"26.419.311/0001-83";"LUMANN DISTRIBUIDORA DE MEDICAMENTOS LTDA";"31.170.914/0001-24";"MAYBEN PHARMACEUTICAL LTDA";"50";"4.99";"249.5"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"320353";"ÁGUA DESTILADA, ASPECTO FÍSICO:LIVRE DE DNASE / RNASE";"MILILITRO";;;"Pregão";"ADMINISTRATIVA";;;"MILILITRO";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"21000";"0.45";"9450.0"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"270613";"BENZILPENICILINA, APRESENTAÇÃO:BENZATINA, DOSAGEM:600.000UI, USO:INJETÁVEL";"FRASCO-AMPOLA";;;"Pregão";"ADMINISTRATIVA";;;"FRASCO-AMPOLA";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"2700";"12.54";"33858.0"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"452913";"BUDESONIDA, CONCENTRAÇÃO:32MCG/DOSE, FORMA FARMACÊUTICA:SUSPENSÃO SPRAY";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"60.0";"DOSES";"FRASCO 60.00 DOSES";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"156";"14.94";"2330.64"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"266705";"BUDESONIDA, APRESENTAÇÃO:AEROSSOL NASAL, CONCENTRAÇÃO:100MCG/DOSE, CARACTERÍSTICAS ADICIONAIS:FRASCO COM VáLVULA DOSIFICADORA";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"60.0";"DOSES";"FRASCO 60.00 DOSES";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"84";"37.54";"3153.36"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"268949";"AZITROMICINA, DOSAGEM:40 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"22.5";"ML";"FRASCO 22.50 ML";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"1320";"15.58";"20565.6"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"354315";"AMOXICILINA, CONCENTRAÇÃO:875MG";"COMPRIMIDO";;;"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"150600";"0.54";"81324.0"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"448842";"AMOXICILINA, PRINCÍPIO ATIVO:ASSOCIADA COM SULBACTAM, CONCENTRAÇÃO:200 MG/ML + 50 MG/ML, FORMA FARMACÊUTICA:SUSPENSÃO ORAL";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"60.0";"ML";"FRASCO 60.00 ML";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"4560";"7.06";"32193.6"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"267507";"ALBENDAZOL, DOSAGEM:40 MG/ML, USO:SUSPENSÃO ORAL";"FRASCO";"S";"1542303370011";"Pregão";"ADMINISTRATIVA";"10.0";"ML";"FRASCO 10.00 ML";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"1440";"3.06";"4406.4"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"270597";"BETAMETASONA, COMPOSIÇÃO:ACETATO, APRESENTAÇÃO:ASSOCIADA COM BETAMETASONA FOSFATO, DOSAGEM:3MG + 3MG/ML, USO:INJETÁVEL";"AMPOLA";;;"Pregão";"ADMINISTRATIVA";"1.0";"ML";"AMPOLA 1.00 ML";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"120";"7.09";"850.8"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"271217";"AMOXICILINA, PRINCÍPIO ATIVO:ASSOCIADA COM CLAVULANATO DE POTÁSSIO, CONCENTRAÇÃO:500MG + 125MG";"COMPRIMIDO";;;"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"1200";"6.05";"7260.0"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"448841";"AMOXICILINA, PRINCÍPIO ATIVO:ASSOCIADA COM CLAVULANATO DE POTÁSSIO, CONCENTRAÇÃO:50 MG/ML + 12,5 MG/ML, FORMA FARMACÊUTICA:SUSPENSÃO ORAL";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"100.0";"ML";"FRASCO 100.00 ML";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"336";"33.99";"11420.64"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"459822";"ALBENDAZOL, CONCENTRAÇÃO:400 MG, FORMA FARMACEUTICA:COMPRIMIDO MASTIGÁVEL";"COMPRIMIDO";"S";"1542303290024";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"4800";"0.79";"3792.0"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"267510";"AMIODARONA, DOSAGEM:200 MG";"COMPRIMIDO";"N";"1542300020034";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"3600";"0.54";"1944.0"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"290848";"ÁCIDO ACETILSALICÍLICO, DOSAGEM:300 MG";"COMPRIMIDO";;;"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"105000";"0.07";"7350.0"
"2024";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.120.699/0001-40";"MURICI";"AL";"01/01/2024";"09/08/2024";"608247";"MULTIVITAMINAS, VITS: B1, B5, B6, B12, D, E, MINERAIS: MG, SE, ZN, COLINA, &#193;CIDO F&#211;LICO";"CÁPSULA";;;"Pregão";"ADMINISTRATIVA";;;"CÁPSULA";"00.236.193/0001-84";"CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA";"03.485.572/0001-04";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"121200";"0.06";"7272.0"
