ano_compra;"nome_instituicao";"esfera";"cnpj_instituicao";"municipio_instituicao";"uf";compra;insercao;codigo_br;"descricao_catmat";"unidade_fornecimento";"generico";"anvisa";"modalidade_compra";"tipo_compra";capacidade;"unidade_medida";"unidade_fornecimento_capacidade";"cnpj_fornecedor";"fornecedor";"cnpj_fabricante";"fabricante";qtd_itens_comprados;preco_unitario;preco_total
"2025";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.328.684/0001-71";"SAO FRANCISCO DO GUAPORE";"RO";"01/01/2025";"01/09/2025";"342134";"HIDROCORTISONA, COMPOSIÇÃO:SAL SUCCINATO SÓDICO, CONCENTRAÇÃO:500 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL";"FRASCO-AMPOLA";"S";"1163701050047";"Pregão";"ADMINISTRATIVA";;;"FRASCO-AMPOLA";"58.430.828/0001-60";"BLAU FARMACEUTICA S.A.";"58.430.828/0001-60";"BLAU FARMACEUTICA S.A.";"200";"11.91";"2382.0"
"2025";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.328.684/0001-71";"SAO FRANCISCO DO GUAPORE";"RO";"01/01/2025";"01/09/2025";"267772";"PROPRANOLOL CLORIDRATO, DOSAGEM:40 MG";"COMPRIMIDO";"S";"1050400510024";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"19.791.813/0001-75";"LABORATORIOS OSORIO DE MORAES LTDA";"19.791.813/0001-75";"LABORATORIOS OSORIO DE MORAES LTDA";"5000";"0.05";"250.0"
"2025";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.328.684/0001-71";"SAO FRANCISCO DO GUAPORE";"RO";"01/01/2025";"01/09/2025";"267310";"METOCLOPRAMIDA CLORIDRATO, DOSAGEM:5 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL";"AMPOLA";"N";"1031101660011";"Pregão";"ADMINISTRATIVA";"2.0";"ML";"AMPOLA 2.00 ML";"01.571.702/0001-98";"HALEX ISTAR INDUSTRIA FARMACEUTICA SA";"01.571.702/0001-98";"HALEX ISTAR INDUSTRIA FARMACEUTICA SA";"300";"0.81";"243.0"
"2025";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"21.817.418/0001-66";"URUPA";"RO";"01/01/2025";"21/08/2025";"272796";"HEPARINA SÓDICA, DOSAGEM:5.000UI/ML, INDICAÇÃO:INJETÁVEL";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"5.0";"ML";"FRASCO 5.00 ML";"23.662.749/0001-08";"M GREFFE DE OLIVEIRA LIMA";"58.430.828/0005-93";"BLAU FARMACEUTICA S.A.";"25";"25.71";"642.75"
"2025";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.328.684/0001-71";"SAO FRANCISCO DO GUAPORE";"RO";"01/01/2025";"01/09/2025";"270612";"BENZILPENICILINA, APRESENTAÇÃO:BENZATINA, DOSAGEM:1.200.000UI, USO:INJETÁVEL";"FRASCO-AMPOLA";"N";"1037001000092";"Pregão";"ADMINISTRATIVA";;;"FRASCO-AMPOLA";"17.159.229/0001-76";"LABORATORIO TEUTO BRASILEIRO S/A";"17.159.229/0001-76";"LABORATORIO TEUTO BRASILEIRO S/A";"200";"8.35";"1670.0"
"2025";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.328.684/0001-71";"SAO FRANCISCO DO GUAPORE";"RO";"01/01/2025";"01/09/2025";"267691";"METFORMINA CLORIDRATO, DOSAGEM:850 MG";"COMPRIMIDO";"S";"1256801510183";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"73.856.593/0001-66";"PRATI, DONADUZZI & CIA LTDA";"73.856.593/0001-66";"PRATI, DONADUZZI & CIA LTDA";"20000";"0.25";"5000.0"
"2025";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.328.684/0001-71";"SAO FRANCISCO DO GUAPORE";"RO";"01/01/2025";"01/09/2025";"448595";"PREDNISOLONA, COMPOSIÇÃO:FOSFATO SÓDICO, CONCENTRAÇÃO:3 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO ORAL";"FRASCO";"S";"1134301840047";"Pregão";"ADMINISTRATIVA";"120.0";"ML";"FRASCO 120.00 ML";"19.570.720/0001-10";"HIPOLABOR FARMACEUTICA LTDA";"19.570.720/0001-10";"HIPOLABOR FARMACEUTICA LTDA";"300";"6.26";"1878.0"
"2025";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"21.817.418/0001-66";"URUPA";"RO";"01/01/2025";"21/08/2025";"268442";"SUXAMETÔNIO CLORETO, DOSAGEM:100 MG, INDICAÇÃO:INJETÁVEL";"FRASCO-AMPOLA";;;"Pregão";"ADMINISTRATIVA";;;"FRASCO-AMPOLA";"23.141.314/0001-00";"CIRURGICA AL-STYN LTDA";"58.430.828/0005-93";"BLAU FARMACEUTICA S.A.";"10";"24.58";"245.8"
"2025";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.328.684/0001-71";"SAO FRANCISCO DO GUAPORE";"RO";"01/01/2025";"01/09/2025";"292427";"DEXAMETASONA, DOSAGEM:4 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL";"AMPOLA";"S";"1037002870120";"Pregão";"ADMINISTRATIVA";"2.5";"ML";"AMPOLA 2.50 ML";"17.159.229/0001-76";"LABORATORIO TEUTO BRASILEIRO S/A";"17.159.229/0001-76";"LABORATORIO TEUTO BRASILEIRO S/A";"500";"1.77";"885.0"
"2025";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.328.684/0001-71";"SAO FRANCISCO DO GUAPORE";"RO";"01/01/2025";"01/09/2025";"270126";"LEVODOPA, COMPOSIÇÃO:ASSOCIADO À BENSERAZIDA, DOSAGEM:200MG + 50MG";"COMPRIMIDO";"N";"1010000640177";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"33.009.945/0001-23";"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S A";"33.009.945/0001-23";"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S A";"2000";"2.28";"4560.0"
