ano_compra;"nome_instituicao";"esfera";"cnpj_instituicao";"municipio_instituicao";"uf";compra;insercao;codigo_br;"descricao_catmat";"unidade_fornecimento";"generico";"anvisa";"modalidade_compra";"tipo_compra";capacidade;"unidade_medida";"unidade_fornecimento_capacidade";"cnpj_fornecedor";"fornecedor";"cnpj_fabricante";"fabricante";qtd_itens_comprados;preco_unitario;preco_total
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"09/04/2025";"271000";"DICLOFENACO, APRESENTAÇÃO:SAL SÓDICO, DOSAGEM:50 MG";"COMPRIMIDO";"S";"1057101520033";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"01.140.868/0001-50";"CIRURGICA OLIMPIO LTDA";"18.324.343/0001-77";"BELFAR LTDA";"80000";"0.049";"3920.0"
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"23/04/2025";"393935";"FENILEFRINA CLORIDRATO, COMPOSIÇÃO:ASSOCIADA À BRONFENIRAMINA, CONCENTRAÇAO:15 MG + 12 MG, FORMA FARMACEUTICA:LIBERAÇÃO PROLONGADA";"COMPRIMIDO";"S";"1057302310176";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"11.195.057/0001-00";"AVAREMED DISTRIBUIDORA DE MEDICAMENTOS LTDA";"60.659.463/0029-92";"ACHE LABORATORIOS FARMACEUTICOS SA";"5000";"12.9";"64500.0"
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"23/04/2025";"437989";"INDACATEROL MALEATO, COMPOSIÇÃO:ASSOCIADO AO GLICOPIRRÔNIO, CONCENTRAÇÃO:110 MCG + 50 MCG, FORMA FARMACÊUTICA:CÁPSULA PÓ INALANTE, CARACTERÍSTICA ADICIONAL:COM INALADOR";"CÁPSULA";"S";"1006811230011";"Pregão";"ADMINISTRATIVA";;;"CÁPSULA";"11.195.057/0001-00";"AVAREMED DISTRIBUIDORA DE MEDICAMENTOS LTDA";"56.994.502/0001-30";"NOVARTIS BIOCIENCIAS SA";"2160";"9.6";"20736.0"
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"09/04/2025";"267653";"ESPIRONOLACTONA, DOSAGEM:25 MG";"COMPRIMIDO";"S";"1023506320019";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"01.140.868/0001-50";"CIRURGICA OLIMPIO LTDA";"57.507.378/0003-65";"EMS S/A";"200000";"0.19";"38000.0"
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"09/04/2025";"376767";"IVERMECTINA, CONCENTRAÇÃO:6 MG";"COMPRIMIDO";"S";"1058309890028";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"01.140.868/0001-50";"CIRURGICA OLIMPIO LTDA";"45.992.062/0001-65";"GERMED FARMACEUTICA LTDA";"30000";"0.31";"9300.0"
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"23/04/2025";"424169";"LEVANLODIPINO BESILATO, CONCENTRAÇÃO:5 MG";"COMPRIMIDO";"S";"1097402190090";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"11.195.057/0001-00";"AVAREMED DISTRIBUIDORA DE MEDICAMENTOS LTDA";"49.475.833/0001-06";"BIOLAB SANUS FARMACEUTICA LTDA";"3000";"2.25";"6750.0"
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"23/04/2025";"267689";"METILDOPA, DOSAGEM:250 MG";"COMPRIMIDO";"S";"1256803040011";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"11.195.057/0001-00";"AVAREMED DISTRIBUIDORA DE MEDICAMENTOS LTDA";"73.856.593/0001-66";"PRATI, DONADUZZI & CIA LTDA";"80000";"0.7";"56000.0"
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"23/04/2025";"270768";"LEVOTIROXINA SÓDICA, DOSAGEM:175MCG";"COMPRIMIDO";"S";"1008903920191";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"11.195.057/0001-00";"AVAREMED DISTRIBUIDORA DE MEDICAMENTOS LTDA";"33.069.212/0001-84";"MERCK S/A";"30000";"0.38";"11400.0"
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"09/04/2025";"267205";"DIPIRONA SÓDICA, DOSAGEM:500 MG/ML, APRESENTAÇÃO:SOLUÇÃO ORAL (GOTAS)";"FRASCO";"S";"1384100020017";"Pregão";"ADMINISTRATIVA";"10.0";"ML";"FRASCO 10.00 ML";"01.140.868/0001-50";"CIRURGICA OLIMPIO LTDA";"02.456.955/0001-83";"NATULAB LABORATORIO S.A";"60000";"1.414";"84840.0"
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"09/04/2025";"273119";"GLIMEPIRIDA, DOSAGEM:2 MG";"COMPRIMIDO";"S";"1004704200080";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"01.140.868/0001-50";"CIRURGICA OLIMPIO LTDA";"61.286.647/0001-16";"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA.";"10000";"0.09";"900.0"
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"23/04/2025";"267632";"CIPROFLOXACINO CLORIDRATO, DOSAGEM:500 MG";"COMPRIMIDO";"S";"1410700200043";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"11.195.057/0001-00";"AVAREMED DISTRIBUIDORA DE MEDICAMENTOS LTDA";"02.501.297/0001-02";"PHARLAB INDUSTRIA FARMACEUTICA S.A";"40000";"0.31";"12400.0"
"2023";"MUNICIPIO DE ITAI";"MUNICIPAL";"46.634.200/0001-05";"ITAI";"SP";"12/07/2023";"23/04/2025";"267282";"ESCOPOLAMINA BUTILBROMETO, DOSAGEM:20 MG/ML, INDICAÇÃO:SOLUÇÃO INJETÁVEL";"AMPOLA";"S";"1108500430028";"Pregão";"ADMINISTRATIVA";"1.0";"ML";"AMPOLA 1.00 ML";"11.195.057/0001-00";"AVAREMED DISTRIBUIDORA DE MEDICAMENTOS LTDA";"06.628.333/0001-46";"FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA";"1000";"1.3";"1300.0"
